name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';421.650000;7.168994e-01;-1.403453e+01;2.376955e+01;6.037162e-02;-6.509032e-03;3.102942e+01;1.021429e-02;5.689735e-01;6.991812e+00;1.229747e+01;2.614095e+01;4.655899e+02;1.276217e+03;0;1.502326e+03;-1.748404e+01;2.426264e+03;-1.708241e+01
'unknown';421.700000;8.512115e-01;-9.973313e+00;1.957124e+01;6.529452e-02;-6.878185e-03;3.189140e+01;1.374106e-02;7.181876e-01;6.201749e+00;1.238668e+01;2.072658e+01;3.277026e+02;1.338036e+03;2.883847e+00;1.383056e+03;-2.078430e+01;2.233876e+03;-1.509154e+01
'unknown';421.750000;9.147835e-01;-8.869446e+00;1.414293e+01;5.334967e-02;-1.847710e-02;3.236133e+01;1.293629e-02;7.383669e-01;6.493947e+00;9.542916e+00;1.207345e+01;3.807010e+02;1.165268e+03;-5.065648e-02;1.498258e+03;-2.551490e+01;2.190317e+03;-1.212411e+01
'unknown';421.800000;1.065266e+00;-9.355689e+00;1.658643e+01;5.886082e-02;-1.955521e-02;3.181552e+01;1.201707e-02;7.551224e-01;6.580593e+00;4.249389e+00;1.112962e+01;4.049266e+02;1.205910e+03;-9.277833e-01;1.483378e+03;-1.974554e+01;2.123983e+03;-1.153060e+01
'unknown';421.850000;1.193313e+00;-8.212716e+00;1.909487e+01;6.223006e-02;-1.701676e-02;3.071280e+01;1.414873e-02;5.518039e-01;6.119112e+00;1.075909e+00;1.142051e+01;4.168553e+02;1.256853e+03;1.100423e-01;1.451492e+03;-1.037414e+01;2.153907e+03;-9.938076e+00
'unknown';421.900000;1.292719e+00;-6.871390e+00;2.177164e+01;6.489166e-02;-8.908317e-03;2.946126e+01;1.314760e-02;4.489340e-01;5.426529e+00;1.782945e+00;1.401748e+01;4.080156e+02;1.299630e+03;3.565193e+00;1.372122e+03;-1.819457e+00;2.184906e+03;-8.669339e+00
'unknown';421.950000;9.513012e-01;-7.711546e+00;2.398099e+01;5.339550e-02;-7.903875e-03;2.836934e+01;1.383677e-02;9.183782e-01;5.922520e+00;2.433075e+00;1.952032e+01;5.877095e+02;1.269417e+03;2.850790e+00;1.568055e+03;-4.546060e+00;2.559555e+03;-1.310839e+01
'unknown';422.000000;5.903519e-01;-1.131033e+01;2.686963e+01;3.511592e-02;-9.000191e-03;2.776085e+01;1.234930e-02;1.139649e+00;6.141139e+00;8.592473e+00;2.451905e+01;7.944116e+02;1.225255e+03;-1.364004e+00;1.784547e+03;-1.147877e+01;2.834551e+03;-1.679917e+01
'unknown';422.050000;3.030350e-01;-1.343067e+01;2.953778e+01;4.495633e-02;-1.757263e-02;2.743531e+01;1.579917e-02;1.565368e+00;5.981060e+00;1.227288e+01;2.822774e+01;7.844599e+02;1.212547e+03;-6.984593e+01;1.740067e+03;-7.966502e+01;2.815655e+03;-7.999109e+01
'unknown';422.100000;3.362118e-01;-1.265736e+01;3.043961e+01;5.432387e-02;-2.174108e-02;0;0;0;0;0;0;5.722182e+02;1.296946e+03;-1.368961e+02;1.452860e+03;-1.406816e+02;2.449947e+03;-1.411535e+02
'unknown';422.150000;6.215507e-01;-8.593520e+00;2.707388e+01;6.879794e-02;-3.047518e-02;0;0;0;0;0;0;3.548553e+02;1.295362e+03;-201;1.162948e+03;-201;2.157718e+03;-201
